Major,Gender,Students,Link
"Apparel, Merchandising, and Design",Male,24,../general/general.html
Athletic Training,Male,37,../general/general.html
Child & Family Services,Male,24,../general/general.html
Culinary Science - Human Sciences,Male,11,../general/general.html
Dietetics (H SCI),Male,15,../general/general.html
Early Childhood Education,Male,2,../general/general.html
Elementary Education,Male,81,../general/general.html
Event Management,Male,20,../general/general.html
Family and Consumer Science Education and Studies,Male,4,../general/general.html
Financial Counseling and Planning,Male,7,../general/general.html
Food Science (H SCI),Male,17,../general/general.html
Hospitality Management,Male,55,../general/general.html
Human Sciences,Male,5,../general/general.html
Kinesiology and Health,Male,536,../general/general.html
Nutritional Science (H SCI),Male,12,../general/general.html
Pre-Athletic Training,Male,26,../general/general.html
Pre-Diet and Exercise (H SCI),Male,3,../general/general.html
Pre-Dietetics (H SCI),Male,15,../general/general.html
Pre-Early Childcare Education and Programming,Male,0,../general/general.html
"Apparel, Merchandising, and Design",Female,460,../general/general.html
Athletic Training,Female,30,../general/general.html
Child & Family Services,Female,358,../general/general.html
Culinary Science - Human Sciences,Female,27,../general/general.html
Dietetics (H SCI),Female,122,../general/general.html
Early Childhood Education,Female,137,../general/general.html
Elementary Education,Female,688,../general/general.html
Event Management,Female,341,../general/general.html
Family and Consumer Science Education and Studies,Female,95,../general/general.html
Financial Counseling and Planning,Female,23,../general/general.html
Food Science (H SCI),Female,34,../general/general.html
Hospitality Management,Female,95,../general/general.html
Human Sciences,Female,36,../general/general.html
Kinesiology and Health,Female,672,../general/general.html
Nutritional Science (H SCI),Female,74,../general/general.html
Pre-Athletic Training,Female,48,../general/general.html
Pre-Diet and Exercise (H SCI),Female,29,../general/general.html
Pre-Dietetics (H SCI),Female,86,../general/general.html
Pre-Early Childcare Education and Programming,Female,11,../general/general.html
